annomese;regione;energia_tot;potenza_imp;tariffa;residenza;somma_pod
202510;Abruzzo;2485,666;7,7;BTIP;N;3
202510;Abruzzo;21463,212;8,0;BTIP;N/A;22
202510;Abruzzo;144563,908;9,0;BTA4;N;378
202510;Abruzzo;768,227;10,7;BTIP;N/A;1
202510;Abruzzo;244,253;10,9;BTA5;N;1
202510;Abruzzo;3670,357;11,8;BTIP;N/A;3
202510;Abruzzo;40907,01;12,0;BTA5;N;97
202510;Abruzzo;124684,514;0,5;BTA1;N/A;1550
202510;Abruzzo;182,863;12,0;BTA6;N;1
202510;Abruzzo;1946,041;12,2;BTIP;N/A;2
202510;Abruzzo;3734,675;12,6;BTIP;N/A;2
202510;Abruzzo;2974,985;13,0;BTA5;N/A;7
202510;Abruzzo;9505,039;13,2;BTIP;N;3
202510;Abruzzo;871,256;1,5;MTA1;N/A;4
202510;Abruzzo;2832,024;13,6;BTIP;N/A;2
202510;Abruzzo;8228,318;13,9;BTIP;N;3
202510;Abruzzo;336684,081;15,0;TD;Y;449
202510;Abruzzo;6568,367;15,4;BTIP;N;2
202510;Abruzzo;1827,014;16,3;BTIP;N;1
202510;Abruzzo;1523,905;17,1;BTIP;N/A;1
202510;Abruzzo;1089,047;17,6;BTIP;N;1
202510;Abruzzo;1707,724;17,8;BTIP;N;1
202510;Abruzzo;1081,383;19,2;BTA6;N;2
202510;Abruzzo;2822539,877;20,0;BTA6;N;1897
202510;Abruzzo;17440,366;20,0;MTA1;N/A;10
202510;Abruzzo;0,0;20,0;RIU;N/A;1
202510;Abruzzo;6222,995;20,8;BTIP;N;2
202510;Abruzzo;3895,844;22,0;MTA1;N;5
202510;Abruzzo;251,974;22,4;BTA6;N/A;1
202510;Abruzzo;5832,467;23,4;BTIP;N;1
202510;Abruzzo;15798,739;24,0;BTIP;N;4
202510;Abruzzo;2539,951;24,0;MTA1;N;1
202510;Abruzzo;140129,047;25,0;BTIP;N/A;55
202510;Abruzzo;1673,961;25,5;BTIP;N/A;1
202510;Abruzzo;10292,914;26,0;BTIP;N;3
202510;Abruzzo;1425,477;26,6;BTIP;N;1
202510;Abruzzo;5008,535;27,0;MTA1;N;1
202510;Abruzzo;106581,447;27,5;BTA6;N;57
202510;Abruzzo;6136,839;27,5;BTIP;N/A;3
202510;Abruzzo;82758,326;29,0;BTA6;N/A;42
202510;Abruzzo;3612,511;29,6;BTA6;N;1
202510;Abruzzo;157389,019;30,0;BTIP;N/A;59
202510;Abruzzo;10169,404;31,0;BTIP;N/A;5
202510;Abruzzo;3087,012;31,3;MTA1;N;1
202510;Abruzzo;78290,487;32,0;BTA6;N/A;27
202510;Abruzzo;299935,599;33,0;BTA6;N;123
202510;Abruzzo;275772,326;33,0;BTA6;N/A;109
202510;Abruzzo;110646,691;38,0;BTA6;N;29
202510;Abruzzo;74084,425;39,0;BTA6;N/A;16
202510;Abruzzo;18178,573;39,0;BTIP;N;4
202510;Abruzzo;1251943,652;40,0;BTA6;N;366
202510;Abruzzo;22158,631;42,0;BTIP;N/A;7
202510;Abruzzo;12152,47;42,9;BTIP;N;1
202510;Abruzzo;9371,616;43,0;MTIP;N/A;1
202510;Abruzzo;4726,436;43,2;BTIP;N/A;1
202510;Abruzzo;3473,198;44,4;BTA6;N/A;1
202510;Abruzzo;8777,945;45,0;BTIP;N/A;2
202510;Abruzzo;16921,339;47,0;BTIP;N;2
202510;Abruzzo;14012,37;48,0;MTA1;N;2
202510;Abruzzo;94347,139;49,0;BTA6;N/A;18
202510;Abruzzo;2132855,73;50,0;BTA6;N/A;437
202510;Abruzzo;19449,125;52,5;MTA1;N;2
202510;Abruzzo;607,915;53,0;TD;N;1
202510;Abruzzo;71933,95;54,0;BTA6;N/A;13
202510;Abruzzo;2799,555;55,0;TD;N;1
202510;Abruzzo;6892,028;55,8;BTIP;N;1
202510;Abruzzo;20881,965;56,3;MTA1;N/A;1
202510;Abruzzo;971,603;60,4;BTA6;N;1
202510;Abruzzo;12797,862;62,5;BTIP;N;1
202510;Abruzzo;14730,925;63,0;BTIP;N;1
202510;Abruzzo;22256,796;65,0;MTA1;N/A;1
202510;Abruzzo;100295,754;66,0;BTA6;N/A;14
202510;Abruzzo;38,656;1,5;BTA2;N/A;1
202510;Abruzzo;41802,045;66,0;MTA1;N;3
202510;Abruzzo;16503,988;66,0;MTIP;N;1
202510;Abruzzo;947,486;67,0;MTA1;N;1
202510;Abruzzo;60720,855;68,0;BTA6;N/A;7
202510;Abruzzo;5980,956;68,0;MTA1;N;1
202510;Abruzzo;8774,942;71,3;BTIP;N;1
202510;Abruzzo;44640,843;72,0;BTA6;N;5
202510;Abruzzo;505823,254;75,0;BTA6;N/A;80
202510;Abruzzo;4583,37;75,0;BTVE;N;2
202510;Abruzzo;62572,154;75,0;MTA1;N;8
202510;Abruzzo;946936,081;80,0;BTA6;N;131
202510;Abruzzo;2533,383;80,0;BTVE;N/A;1
202510;Abruzzo;66150,523;80,0;MTA1;N/A;8
202510;Abruzzo;504,555;83,5;BTA6;N/A;1
202510;Abruzzo;110868,79;92,0;BTA6;N;13
202510;Abruzzo;20126,428;96,0;MTA1;N;2
202510;Abruzzo;76,533;99,5;BTA6;N/A;1
202510;Abruzzo;29189,214;100,0;BTIP;N;2
202510;Abruzzo;1517,45;100,7;BTA6;N/A;1
202510;Abruzzo;30935,893;104,0;BTA6;N/A;4
202510;Abruzzo;58394,463;105,0;BTA6;N/A;9
202510;Abruzzo;41623,368;107,0;BTA6;N;2
202510;Abruzzo;7477,69;108,0;BTA6;N/A;2
202510;Abruzzo;39006,11;112,0;BTA6;N;3
202510;Abruzzo;35657,462;114,0;BTA6;N/A;2
202510;Abruzzo;2201,117;119,0;MTA2;N/A;1
202510;Abruzzo;27395,115;124,0;BTA6;N;2
202510;Abruzzo;50143,839;0,5;BTA1;N;1035
202510;Abruzzo;7412,185;126,0;BTA6;N/A;2
202510;Abruzzo;7798,148;131,0;BTA6;N;1
202510;Abruzzo;36343,093;133,0;BTA6;N/A;2
202510;Abruzzo;119751,364;134,0;BTA6;N;4
202510;Abruzzo;198744,263;140,0;BTA6;N;12
202510;Abruzzo;1247,345;149,0;BTA6;N/A;1
202510;Abruzzo;35299,369;149,0;MTA2;N;2
202510;Abruzzo;266949,328;155,0;MTA2;N;20
202510;Abruzzo;228133,75;160,0;MTA2;N/A;9
202510;Abruzzo;11210,099;163,0;BTA6;N;3
202510;Abruzzo;23991,588;163,0;MTA2;N/A;3
202510;Abruzzo;35675,412;164,0;MTA2;N;1
202510;Abruzzo;49987,987;168,0;BTA6;N;2
202510;Abruzzo;203011,764;170,0;MTA2;N/A;7
202510;Abruzzo;93529,057;176,0;MTA2;N;2
202510;Abruzzo;1834,915;182,0;MTA2;N;1
202510;Abruzzo;17448,78;187,5;MTA2;N;1
202510;Abruzzo;46681,607;189,0;MTA2;N;2
202510;Abruzzo;400832,542;200,0;BTA6;N;19
202510;Abruzzo;753358,524;200,0;MTA2;N;32
202510;Abruzzo;3938,554;201,0;MTA2;N/A;1
202510;Abruzzo;12032,911;204,0;MTA2;N/A;1
202510;Abruzzo;32747,578;206,0;BTA6;N/A;1
202510;Abruzzo;154307,369;210,0;MTA2;N/A;8
202510;Abruzzo;10049,457;222,0;BTA6;N;1
202510;Abruzzo;44014,674;227,0;MTA2;N/A;1
202510;Abruzzo;53741,311;230,0;MTA2;N/A;3
202510;Abruzzo;9437,636;239,0;ALTA;N;1
202510;Abruzzo;2896,02;239,0;MTA2;N/A;1
202510;Abruzzo;117218,441;244,0;MTA2;N;2
202510;Abruzzo;44540,084;260,0;MTA2;N/A;2
202510;Abruzzo;13329,08;265,0;MTA2;N;1
202510;Abruzzo;9851,866;297,0;MTA2;N/A;1
202510;Abruzzo;14,256;299,0;BTA6;N/A;1
202510;Abruzzo;2608,286;312,0;MTA2;N;2
202510;Abruzzo;5108,82;327,0;MTA2;N;1
202510;Abruzzo;21399,966;330,0;MTA2;N/A;1
202510;Abruzzo;44032,35;335,0;MTA2;N/A;1
202510;Abruzzo;152788,931;360,0;MTA2;N;3
202510;Abruzzo;93979,546;362,0;MTA2;N;4
202510;Abruzzo;30877,751;364,0;MTA2;N/A;1
202510;Abruzzo;1606,571;369,0;MTA2;N/A;1
202510;Abruzzo;266083,778;377,0;MTA2;N;3
202510;Abruzzo;31403,652;377,0;MTA2;N/A;1
202510;Abruzzo;46325,814;379,0;MTA2;N/A;1
202510;Abruzzo;26833,904;397,0;MTA2;N/A;1
